crime_id,date,year,month,day,day_of_week,time,hour,city,neighborhood,crime_type,severity,latitude,longitude,victim_age,victim_gender,arrested,domestic_violence,case_status,description,month_name,quarter,hour_category,season
CR001213,2020-10-08,2020,10,8,Thursday,15:24,15,New York,New York - Neighborhood 10,Robbery,4,40.6545,-74.0688,22.0,Male,False,False,Open,Police responded to robbery call,October,4,Afternoon,Fall
CR001214,2021-04-25,2021,4,25,Sunday,23:54,23,Los Angeles,Los Angeles - Neighborhood 2,Burglary,3,34.0128,-118.282,42.0,Female,False,False,Archived,Police responded to burglary call,April,2,Evening,Spring
CR001215,2021-08-21,2021,8,21,Saturday,17:19,17,New York,New York - Neighborhood 6,Drug Offense,2,40.7518,-73.9529,,Unknown,False,False,Closed,Suspect involved in drug offense incident,August,3,Afternoon,Summer
CR001216,2022-07-12,2022,7,12,Tuesday,08:36,8,Philadelphia,Philadelphia - Neighborhood 3,Assault,4,40.0262,-75.0946,84.0,Male,True,False,Open,Victim reported assault,July,3,Morning,Summer
CR001217,2022-09-03,2022,9,3,Saturday,17:13,17,Chicago,Chicago - Neighborhood 2,Vandalism,2,41.9777,-87.5962,34.0,,False,False,Open,Police responded to vandalism call,September,3,Afternoon,Fall
CR001218,2022-09-07,2022,9,7,Wednesday,18:30,18,New York,New York - Neighborhood 3,Theft,2,40.6754,-73.9302,52.0,Female,False,False,Pending,Suspect involved in theft incident,September,3,Evening,Fall
CR001219,2021-07-23,2021,7,23,Friday,15:54,15,New York,New York - Neighborhood 1,Theft,2,40.6709,-73.9242,3.0,,True,False,Pending,Report of theft at 15:54,July,3,Afternoon,Summer
CR001220,2022-08-03,2022,8,3,Wednesday,09:25,9,New York,New York - Neighborhood 2,Theft,2,40.7829,-74.0042,80.0,Female,False,False,Archived,Police responded to theft call,August,3,Morning,Summer
CR001221,2023-06-02,2023,6,2,Friday,07:04,7,Dallas,Dallas - Neighborhood 2,Sexual Assault,5,32.7322,-96.8279,49.0,Male,True,False,Closed,Victim reported sexual assault,June,2,Morning,Summer
CR001222,2021-01-10,2021,1,10,Sunday,07:26,7,New York,New York - Neighborhood 4,Assault,4,40.6415,-73.9759,,Male,True,False,Closed,Report of assault at 07:26,January,1,Morning,Winter
CR001223,2023-04-01,2023,4,1,Saturday,11:47,11,New York,New York - Neighborhood 4,Robbery,4,40.7486,-73.9498,4.0,Unknown,False,False,Closed,Suspect involved in robbery incident,April,2,Morning,Spring
CR001224,2023-04-08,2023,4,8,Saturday,22:09,22,Chicago,Chicago - Neighborhood 3,Assault,4,41.9572,-87.5992,36.0,,False,False,Closed,Victim reported assault,April,2,Evening,Spring
CR001225,2021-04-12,2021,4,12,Monday,14:50,14,New York,New York - Neighborhood 6,Theft,2,40.7769,-73.9206,35.0,Female,True,False,Open,Suspect involved in theft incident,April,2,Afternoon,Spring
CR001226,2020-11-09,2020,11,9,Monday,16:14,16,New York,New York - Neighborhood 3,Vandalism,2,40.6119,-74.1068,,Male,False,False,Closed,Suspect involved in vandalism incident,November,4,Afternoon,Fall
CR001227,2023-11-18,2023,11,18,Saturday,05:57,5,New York,New York - Neighborhood 8,Burglary,3,40.6956,-74.0187,18.0,Unknown,False,True,Closed,Suspect involved in burglary incident,November,4,Late Night,Fall
CR001228,2023-08-07,2023,8,7,Monday,10:03,10,San Diego,San Diego - Neighborhood 1,Theft,2,32.6356,-117.0793,33.0,Male,False,False,Closed,Victim reported theft,August,3,Morning,Summer
CR001229,2020-09-17,2020,9,17,Thursday,14:29,14,Phoenix,Phoenix - Neighborhood 7,Theft,2,33.3636,-111.9756,2.0,,False,False,Pending,Suspect involved in theft incident,September,3,Afternoon,Fall
CR001230,2022-04-27,2022,4,27,Wednesday,20:16,20,New York,New York - Neighborhood 6,Theft,2,40.7421,-74.0007,60.0,Unknown,False,False,Closed,Police responded to theft call,April,2,Evening,Spring
CR001231,2021-01-09,2021,1,9,Saturday,21:03,21,New York,New York - Neighborhood 10,Domestic Violence,4,40.6873,-73.982,56.0,,True,True,Closed,Suspect involved in domestic violence incident,January,1,Evening,Winter
CR001232,2021-10-10,2021,10,10,Sunday,15:51,15,Los Angeles,Los Angeles - Neighborhood 1,Theft,2,34.1412,-118.1836,32.0,Unknown,False,False,Pending,Police responded to theft call,October,4,Afternoon,Fall
CR001233,2020-06-05,2020,6,5,Friday,18:06,18,New York,New York - Neighborhood 4,Burglary,3,40.636,-74.0928,5.0,Female,True,False,Archived,Police responded to burglary call,June,2,Evening,Summer
CR001234,2023-10-03,2023,10,3,Tuesday,20:57,20,Philadelphia,Philadelphia - Neighborhood 6,Vandalism,2,39.8648,-75.099,80.0,Unknown,False,False,Open,Victim reported vandalism,October,4,Evening,Fall
CR001235,2020-08-12,2020,8,12,Wednesday,13:11,13,Houston,Houston - Neighborhood 3,Vandalism,2,29.6951,-95.2889,71.0,Male,False,False,Open,Suspect involved in vandalism incident,August,3,Afternoon,Summer
CR001236,2023-10-22,2023,10,22,Sunday,09:51,9,New York,New York - Neighborhood 7,Theft,2,40.6621,-73.9342,0.0,Male,False,False,Closed,Victim reported theft,October,4,Morning,Fall
CR001237,2022-11-28,2022,11,28,Monday,13:38,13,New York,New York - Neighborhood 1,Assault,4,40.726,-74.0439,,Unknown,True,True,Closed,Victim reported assault,November,4,Afternoon,Fall
CR001238,2023-10-28,2023,10,28,Saturday,12:16,12,New York,New York - Neighborhood 6,Theft,2,40.7348,-73.9292,76.0,Female,False,False,Closed,Police responded to theft call,October,4,Afternoon,Fall
CR001239,2020-12-15,2020,12,15,Tuesday,06:22,6,San Diego,San Diego - Neighborhood 4,Assault,4,32.7334,-117.2565,18.0,Male,True,False,Open,Suspect involved in assault incident,December,4,Morning,Winter
CR001240,2021-10-22,2021,10,22,Friday,21:59,21,New York,New York - Neighborhood 5,Theft,2,40.7637,-74.0663,89.0,Male,True,False,Closed,Suspect involved in theft incident,October,4,Evening,Fall
CR001241,2021-08-30,2021,8,30,Monday,16:11,16,Houston,Houston - Neighborhood 3,Fraud,2,29.6685,-95.3946,82.0,Female,False,False,Open,Report of fraud at 16:11,August,3,Afternoon,Summer
CR001242,2020-03-23,2020,3,23,Monday,02:36,2,New York,New York - Neighborhood 9,Drug Offense,2,40.7169,-73.9398,10.0,,False,False,Open,Report of drug offense at 02:36,March,1,Late Night,Spring
CR001243,2020-08-18,2020,8,18,Tuesday,17:34,17,Los Angeles,Los Angeles - Neighborhood 3,Burglary,3,33.9807,-118.2529,1.0,,False,False,Closed,Victim reported burglary,August,3,Afternoon,Summer
CR001244,2021-09-25,2021,9,25,Saturday,23:48,23,New York,New York - Neighborhood 9,Theft,2,40.6367,-73.9426,,Female,True,False,Closed,Police responded to theft call,September,3,Evening,Fall
CR001245,2022-03-05,2022,3,5,Saturday,16:18,16,New York,New York - Neighborhood 6,Vandalism,2,40.7991,-74.0301,16.0,Unknown,False,False,Open,Suspect involved in vandalism incident,March,1,Afternoon,Spring
CR001246,2021-01-01,2021,1,1,Friday,04:11,4,Houston,Houston - Neighborhood 7,Fraud,2,29.6634,-95.332,27.0,Male,True,False,Closed,Report of fraud at 04:11,January,1,Late Night,Winter
CR001247,2022-04-12,2022,4,12,Tuesday,15:38,15,New York,New York - Neighborhood 10,Burglary,3,40.8054,-74.0545,,Male,False,True,Pending,Report of burglary at 15:38,April,2,Afternoon,Spring
CR001248,2020-02-12,2020,2,12,Wednesday,17:47,17,New York,New York - Neighborhood 7,Burglary,3,40.6436,-74.1096,69.0,Unknown,True,False,Closed,Report of burglary at 17:47,February,1,Afternoon,Winter
CR001249,2021-01-02,2021,1,2,Saturday,08:56,8,Los Angeles,Los Angeles - Neighborhood 1,Assault,4,34.0559,-118.293,20.0,Unknown,False,False,Open,Report of assault at 08:56,January,1,Morning,Winter
CR001250,2022-06-04,2022,6,4,Saturday,06:29,6,New York,New York - Neighborhood 7,Vandalism,2,40.7613,-73.9233,26.0,Unknown,False,False,Closed,Suspect involved in vandalism incident,June,2,Morning,Summer
CR001251,2020-06-19,2020,6,19,Friday,13:40,13,New York,New York - Neighborhood 8,Burglary,3,40.6328,-73.9838,51.0,,False,False,Closed,Police responded to burglary call,June,2,Afternoon,Summer
CR001252,2020-06-01,2020,6,1,Monday,07:42,7,Chicago,Chicago - Neighborhood 1,Theft,2,41.8812,-87.6986,,Unknown,False,False,Pending,Victim reported theft,June,2,Morning,Summer
CR001253,2020-05-09,2020,5,9,Saturday,14:20,14,San Diego,San Diego - Neighborhood 4,Drug Offense,2,32.7616,-117.1071,61.0,Male,False,True,Closed,Victim reported drug offense,May,2,Afternoon,Spring
CR001254,2023-01-07,2023,1,7,Saturday,14:54,14,Philadelphia,Philadelphia - Neighborhood 2,Theft,2,39.9808,-75.2167,56.0,Male,False,False,Closed,Report of theft at 14:54,January,1,Afternoon,Winter
CR001255,2022-12-28,2022,12,28,Wednesday,16:34,16,Los Angeles,Los Angeles - Neighborhood 5,Burglary,3,34.0886,-118.27,,Unknown,False,False,Open,Police responded to burglary call,December,4,Afternoon,Winter
CR001256,2020-12-15,2020,12,15,Tuesday,15:22,15,Los Angeles,Los Angeles - Neighborhood 4,Vandalism,2,34.0649,-118.3212,75.0,Male,False,False,Closed,Victim reported vandalism,December,4,Afternoon,Winter
CR001257,2021-09-02,2021,9,2,Thursday,20:37,20,Houston,Houston - Neighborhood 1,Drug Offense,2,29.8323,-95.4655,52.0,Female,True,False,Open,Police responded to drug offense call,September,3,Evening,Fall
CR001258,2023-05-04,2023,5,4,Thursday,12:43,12,Chicago,Chicago - Neighborhood 5,Theft,2,41.9159,-87.679,51.0,Unknown,False,False,Open,Victim reported theft,May,2,Afternoon,Spring
CR001259,2022-07-27,2022,7,27,Wednesday,14:40,14,New York,New York - Neighborhood 8,Theft,2,40.6787,-74.0303,,Unknown,False,False,Closed,Victim reported theft,July,3,Afternoon,Summer
CR001260,2023-08-03,2023,8,3,Thursday,14:25,14,Los Angeles,Los Angeles - Neighborhood 5,Theft,2,34.1252,-118.2747,20.0,Female,True,False,Open,Victim reported theft,August,3,Afternoon,Summer
CR001261,2023-01-19,2023,1,19,Thursday,06:34,6,Chicago,Chicago - Neighborhood 1,Theft,2,41.9467,-87.6583,69.0,Male,True,False,Pending,Victim reported theft,January,1,Morning,Winter
CR001262,2023-06-21,2023,6,21,Wednesday,15:30,15,Chicago,Chicago - Neighborhood 5,Vandalism,2,41.8324,-87.5591,30.0,,False,False,Archived,Victim reported vandalism,June,2,Afternoon,Summer
CR001263,2020-04-04,2020,4,4,Saturday,17:46,17,San Diego,San Diego - Neighborhood 1,Theft,2,32.6981,-117.1242,45.0,Male,True,False,Archived,Police responded to theft call,April,2,Afternoon,Spring
CR001264,2023-03-03,2023,3,3,Friday,07:28,7,New York,New York - Neighborhood 9,Assault,4,40.8057,-73.977,6.0,Female,False,False,Archived,Report of assault at 07:28,March,1,Morning,Spring
CR001265,2023-08-09,2023,8,9,Wednesday,18:01,18,Chicago,Chicago - Neighborhood 2,Burglary,3,41.8026,-87.58,,Female,False,False,Closed,Suspect involved in burglary incident,August,3,Evening,Summer
CR001266,2021-07-15,2021,7,15,Thursday,16:27,16,Chicago,Chicago - Neighborhood 1,Assault,4,41.8917,-87.5442,4.0,Male,False,False,Open,Police responded to assault call,July,3,Afternoon,Summer
CR001267,2022-05-21,2022,5,21,Saturday,18:11,18,San Antonio,San Antonio - Neighborhood 2,Assault,4,29.5078,-98.5538,81.0,Female,False,False,Closed,Victim reported assault,May,2,Evening,Spring
CR001268,2021-09-13,2021,9,13,Monday,14:43,14,Chicago,Chicago - Neighborhood 4,Sexual Assault,5,41.9371,-87.6555,,Male,True,False,Closed,Report of sexual assault at 14:43,September,3,Afternoon,Fall
CR001269,2021-08-11,2021,8,11,Wednesday,09:22,9,Chicago,Chicago - Neighborhood 1,Domestic Violence,4,41.8236,-87.6968,7.0,,False,True,Closed,Suspect involved in domestic violence incident,August,3,Morning,Summer
CR001270,2022-08-25,2022,8,25,Thursday,07:49,7,Dallas,Dallas - Neighborhood 2,Sexual Assault,5,32.808,-96.7733,68.0,Unknown,False,False,Closed,Victim reported sexual assault,August,3,Morning,Summer
CR001271,2020-12-16,2020,12,16,Wednesday,06:42,6,Houston,Houston - Neighborhood 6,Vandalism,2,29.7211,-95.3337,51.0,,False,False,Closed,Victim reported vandalism,December,4,Morning,Winter
CR001272,2021-11-19,2021,11,19,Friday,20:33,20,Chicago,Chicago - Neighborhood 4,Theft,2,41.9503,-87.7206,39.0,Male,False,True,Pending,Suspect involved in theft incident,November,4,Evening,Fall
CR001273,2022-12-19,2022,12,19,Monday,17:54,17,Los Angeles,Los Angeles - Neighborhood 2,Assault,4,34.0964,-118.3176,38.0,Unknown,False,False,Closed,Victim reported assault,December,4,Afternoon,Winter
CR001274,2021-11-13,2021,11,13,Saturday,07:32,7,San Antonio,San Antonio - Neighborhood 5,Theft,2,29.4269,-98.5456,,Unknown,True,False,Closed,Suspect involved in theft incident,November,4,Morning,Fall
CR001275,2022-11-02,2022,11,2,Wednesday,14:11,14,Los Angeles,Los Angeles - Neighborhood 1,Burglary,3,34.1124,-118.2286,25.0,,False,False,Pending,Suspect involved in burglary incident,November,4,Afternoon,Fall
CR001276,2020-09-07,2020,9,7,Monday,12:19,12,Los Angeles,Los Angeles - Neighborhood 1,Assault,4,34.0317,-118.1737,65.0,,True,False,Closed,Victim reported assault,September,3,Afternoon,Fall
CR001277,2021-07-25,2021,7,25,Sunday,19:31,19,Los Angeles,Los Angeles - Neighborhood 4,Theft,2,33.9675,-118.2442,50.0,Male,False,False,Archived,Suspect involved in theft incident,July,3,Evening,Summer
CR001278,2023-03-24,2023,3,24,Friday,08:24,8,Philadelphia,Philadelphia - Neighborhood 2,Vandalism,2,39.9758,-75.184,73.0,Male,False,False,Closed,Report of vandalism at 08:24,March,1,Morning,Spring
CR001279,2021-04-11,2021,4,11,Sunday,15:34,15,Chicago,Chicago - Neighborhood 5,Assault,4,41.9612,-87.5635,,,False,False,Closed,Victim reported assault,April,2,Afternoon,Spring
CR001280,2022-03-09,2022,3,9,Wednesday,08:32,8,San Diego,San Diego - Neighborhood 2,Robbery,4,32.7753,-117.2005,58.0,Female,False,False,Open,Police responded to robbery call,March,1,Morning,Spring
CR001281,2022-11-30,2022,11,30,Wednesday,05:33,5,Los Angeles,Los Angeles - Neighborhood 5,Assault,4,34.0984,-118.1715,74.0,Unknown,True,False,Closed,Report of assault at 05:33,November,4,Late Night,Fall
CR001282,2021-01-19,2021,1,19,Tuesday,16:58,16,Philadelphia,Philadelphia - Neighborhood 3,Vandalism,2,40.022,-75.0903,67.0,Female,False,False,Archived,Victim reported vandalism,January,1,Afternoon,Winter
CR001283,2020-11-23,2020,11,23,Monday,14:25,14,Philadelphia,Philadelphia - Neighborhood 2,Burglary,3,40.0464,-75.249,,Female,True,False,Pending,Report of burglary at 14:25,November,4,Afternoon,Fall
CR001284,2022-10-03,2022,10,3,Monday,19:05,19,Philadelphia,Philadelphia - Neighborhood 5,Theft,2,39.905,-75.0867,,Unknown,False,False,Archived,Suspect involved in theft incident,October,4,Evening,Fall
CR001285,2020-04-06,2020,4,6,Monday,10:09,10,Philadelphia,Philadelphia - Neighborhood 4,Burglary,3,39.9621,-75.185,47.0,,False,False,Pending,Report of burglary at 10:09,April,2,Morning,Spring
CR001286,2020-01-25,2020,1,25,Saturday,18:42,18,Phoenix,Phoenix - Neighborhood 4,Domestic Violence,4,33.4137,-112.1447,15.0,,False,True,Closed,Report of domestic violence at 18:42,January,1,Evening,Winter
CR001287,2023-03-20,2023,3,20,Monday,23:19,23,New York,New York - Neighborhood 9,Theft,2,40.6369,-73.9368,73.0,,False,False,Closed,Report of theft at 23:19,March,1,Evening,Spring
CR001288,2021-08-03,2021,8,3,Tuesday,09:56,9,San Antonio,San Antonio - Neighborhood 6,Theft,2,29.3471,-98.5476,89.0,Unknown,False,False,Closed,Police responded to theft call,August,3,Morning,Summer
CR001289,2023-11-14,2023,11,14,Tuesday,09:46,9,New York,New York - Neighborhood 8,Theft,2,40.7299,-73.9963,90.0,,True,False,Closed,Police responded to theft call,November,4,Morning,Fall
CR001290,2021-05-19,2021,5,19,Wednesday,04:21,4,New York,New York - Neighborhood 5,Burglary,3,40.7822,-73.9459,,Male,True,False,Open,Suspect involved in burglary incident,May,2,Late Night,Spring
CR001291,2020-10-01,2020,10,1,Thursday,19:58,19,Los Angeles,Los Angeles - Neighborhood 5,Theft,2,33.998,-118.2428,53.0,Unknown,False,False,Closed,Victim reported theft,October,4,Evening,Fall
CR001292,2020-06-17,2020,6,17,Wednesday,10:16,10,San Diego,San Diego - Neighborhood 3,Theft,2,32.6713,-117.0966,79.0,Female,False,True,Archived,Suspect involved in theft incident,June,2,Morning,Summer
CR001293,2021-06-27,2021,6,27,Sunday,02:23,2,Los Angeles,Los Angeles - Neighborhood 3,Burglary,3,34.1427,-118.3325,,Male,False,False,Closed,Police responded to burglary call,June,2,Late Night,Summer
CR001294,2022-11-08,2022,11,8,Tuesday,20:16,20,New York,New York - Neighborhood 3,Domestic Violence,4,40.7368,-73.9747,74.0,Female,False,True,Pending,Police responded to domestic violence call,November,4,Evening,Fall
CR001295,2022-04-03,2022,4,3,Sunday,08:48,8,Chicago,Chicago - Neighborhood 1,Burglary,3,41.9521,-87.5981,72.0,,False,False,Closed,Police responded to burglary call,April,2,Morning,Spring
CR001296,2021-12-19,2021,12,19,Sunday,05:45,5,Phoenix,Phoenix - Neighborhood 7,Assault,4,33.3974,-112.0037,62.0,,False,False,Closed,Report of assault at 05:45,December,4,Late Night,Winter
CR001297,2023-02-20,2023,2,20,Monday,23:50,23,Houston,Houston - Neighborhood 7,Fraud,2,29.6811,-95.3933,4.0,Male,False,False,Closed,Report of fraud at 23:50,February,1,Evening,Winter
CR001298,2022-06-26,2022,6,26,Sunday,16:22,16,Chicago,Chicago - Neighborhood 2,Vandalism,2,41.9724,-87.6855,57.0,,True,False,Closed,Report of vandalism at 16:22,June,2,Afternoon,Summer
CR001299,2021-12-15,2021,12,15,Wednesday,07:52,7,Chicago,Chicago - Neighborhood 5,Sexual Assault,5,41.9074,-87.6462,44.0,Male,True,False,Archived,Report of sexual assault at 07:52,December,4,Morning,Winter
CR001300,2021-04-21,2021,4,21,Wednesday,20:39,20,Houston,Houston - Neighborhood 3,Vehicle Theft,3,29.667,-95.3395,35.0,,False,False,Open,Police responded to vehicle theft call,April,2,Evening,Spring
CR001301,2021-03-16,2021,3,16,Tuesday,06:23,6,Houston,Houston - Neighborhood 5,Theft,2,29.8596,-95.422,78.0,Unknown,False,True,Archived,Victim reported theft,March,1,Morning,Spring
CR001302,2023-02-16,2023,2,16,Thursday,12:47,12,Chicago,Chicago - Neighborhood 4,Theft,2,41.858,-87.6788,,Female,False,False,Pending,Suspect involved in theft incident,February,1,Afternoon,Winter
CR001303,2023-11-22,2023,11,22,Wednesday,16:13,16,New York,New York - Neighborhood 5,Vehicle Theft,3,40.6445,-74.0901,,Unknown,False,False,Closed,Police responded to vehicle theft call,November,4,Afternoon,Fall
CR001304,2023-01-23,2023,1,23,Monday,10:44,10,New York,New York - Neighborhood 8,Theft,2,40.7406,-74.0988,,Male,False,False,Closed,Suspect involved in theft incident,January,1,Morning,Winter
CR001305,2023-01-18,2023,1,18,Wednesday,15:00,15,New York,New York - Neighborhood 6,Theft,2,40.6778,-74.0148,17.0,Unknown,False,True,Archived,Police responded to theft call,January,1,Afternoon,Winter
CR001306,2020-03-11,2020,3,11,Wednesday,16:10,16,New York,New York - Neighborhood 8,Theft,2,40.642,-74.0882,,Male,False,False,Closed,Suspect involved in theft incident,March,1,Afternoon,Spring
CR001307,2021-06-03,2021,6,3,Thursday,09:59,9,New York,New York - Neighborhood 1,Fraud,2,40.752,-74.0541,72.0,,False,False,Pending,Police responded to fraud call,June,2,Morning,Summer
CR001308,2021-05-16,2021,5,16,Sunday,11:09,11,Philadelphia,Philadelphia - Neighborhood 4,Assault,4,40.015,-75.1181,23.0,Male,True,False,Closed,Suspect involved in assault incident,May,2,Morning,Spring
CR001309,2021-07-06,2021,7,6,Tuesday,18:09,18,Los Angeles,Los Angeles - Neighborhood 2,Sexual Assault,5,34.1409,-118.1572,57.0,Female,False,True,Pending,Report of sexual assault at 18:09,July,3,Evening,Summer
CR001310,2023-07-05,2023,7,5,Wednesday,09:06,9,New York,New York - Neighborhood 3,Burglary,3,40.6549,-74.0839,38.0,Male,False,False,Archived,Suspect involved in burglary incident,July,3,Morning,Summer
CR001311,2022-01-05,2022,1,5,Wednesday,15:22,15,New York,New York - Neighborhood 6,Fraud,2,40.6324,-74.1026,,Unknown,True,False,Closed,Suspect involved in fraud incident,January,1,Afternoon,Winter
CR001312,2023-12-10,2023,12,10,Sunday,08:38,8,Philadelphia,Philadelphia - Neighborhood 5,Homicide,5,40.0105,-75.093,65.0,Male,True,False,Closed,Report of homicide at 08:38,December,4,Morning,Winter
CR001313,2021-09-30,2021,9,30,Thursday,12:01,12,San Diego,San Diego - Neighborhood 5,Vandalism,2,32.7222,-117.2139,,Unknown,False,False,Open,Suspect involved in vandalism incident,September,3,Afternoon,Fall
CR001314,2022-04-06,2022,4,6,Wednesday,15:46,15,New York,New York - Neighborhood 5,Theft,2,40.7628,-73.9233,77.0,Unknown,False,False,Open,Victim reported theft,April,2,Afternoon,Spring
CR001315,2022-11-10,2022,11,10,Thursday,11:28,11,San Jose,San Jose - Neighborhood 3,Vandalism,2,37.4289,-121.9822,52.0,Female,True,False,Open,Report of vandalism at 11:28,November,4,Morning,Fall
CR001316,2022-10-03,2022,10,3,Monday,17:47,17,New York,New York - Neighborhood 3,Theft,2,40.6397,-74.1071,27.0,,False,True,Open,Police responded to theft call,October,4,Afternoon,Fall
CR001317,2022-04-05,2022,4,5,Tuesday,12:37,12,New York,New York - Neighborhood 5,Drug Offense,2,40.6322,-74.109,11.0,,False,False,Open,Report of drug offense at 12:37,April,2,Afternoon,Spring
CR001318,2023-07-09,2023,7,9,Sunday,06:15,6,Chicago,Chicago - Neighborhood 1,Assault,4,41.8078,-87.6311,68.0,Unknown,False,False,Pending,Report of assault at 06:15,July,3,Morning,Summer
CR001319,2021-11-20,2021,11,20,Saturday,08:53,8,Los Angeles,Los Angeles - Neighborhood 5,Fraud,2,34.1402,-118.1514,33.0,Male,False,False,Open,Victim reported fraud,November,4,Morning,Fall
CR001320,2020-07-17,2020,7,17,Friday,17:15,17,Houston,Houston - Neighborhood 4,Burglary,3,29.8506,-95.4535,84.0,Unknown,True,False,Closed,Victim reported burglary,July,3,Afternoon,Summer
CR001321,2021-09-24,2021,9,24,Friday,06:01,6,Chicago,Chicago - Neighborhood 5,Domestic Violence,4,41.8178,-87.678,,Female,False,True,Pending,Police responded to domestic violence call,September,3,Morning,Fall
CR001322,2023-03-23,2023,3,23,Thursday,15:16,15,Los Angeles,Los Angeles - Neighborhood 4,Assault,4,34.0067,-118.1619,6.0,,True,False,Closed,Report of assault at 15:16,March,1,Afternoon,Spring
CR001323,2020-07-06,2020,7,6,Monday,17:09,17,Philadelphia,Philadelphia - Neighborhood 6,Drug Offense,2,40.0341,-75.1395,0.0,,False,False,Pending,Report of drug offense at 17:09,July,3,Afternoon,Summer
CR001324,2022-10-14,2022,10,14,Friday,08:20,8,Chicago,Chicago - Neighborhood 5,Homicide,5,41.961,-87.6365,52.0,Male,False,False,Closed,Report of homicide at 08:20,October,4,Morning,Fall
CR001325,2020-07-12,2020,7,12,Sunday,23:35,23,New York,New York - Neighborhood 2,Theft,2,40.8001,-73.9997,8.0,Unknown,False,False,Archived,Report of theft at 23:35,July,3,Evening,Summer
CR001326,2020-03-05,2020,3,5,Thursday,03:38,3,New York,New York - Neighborhood 7,Theft,2,40.6446,-74.0989,,Unknown,False,True,Open,Report of theft at 03:38,March,1,Late Night,Spring
CR001327,2020-09-17,2020,9,17,Thursday,15:59,15,New York,New York - Neighborhood 3,Theft,2,40.7354,-74.0963,68.0,Male,True,True,Closed,Police responded to theft call,September,3,Afternoon,Fall
CR001328,2021-06-13,2021,6,13,Sunday,09:46,9,Phoenix,Phoenix - Neighborhood 2,Domestic Violence,4,33.3592,-111.9949,56.0,Male,False,True,Pending,Police responded to domestic violence call,June,2,Morning,Summer
CR001329,2020-06-29,2020,6,29,Monday,09:00,9,Philadelphia,Philadelphia - Neighborhood 1,Theft,2,39.9232,-75.1262,39.0,Male,False,False,Closed,Police responded to theft call,June,2,Morning,Summer
CR001330,2020-11-30,2020,11,30,Monday,21:48,21,New York,New York - Neighborhood 7,Vandalism,2,40.6303,-73.9741,,Male,False,False,Closed,Police responded to vandalism call,November,4,Evening,Fall
CR001331,2020-09-23,2020,9,23,Wednesday,08:04,8,Dallas,Dallas - Neighborhood 7,Domestic Violence,4,32.8713,-96.7757,69.0,Female,False,True,Pending,Police responded to domestic violence call,September,3,Morning,Fall
CR001332,2023-03-30,2023,3,30,Thursday,03:13,3,Los Angeles,Los Angeles - Neighborhood 1,Robbery,4,34.0223,-118.3327,64.0,Female,False,False,Archived,Suspect involved in robbery incident,March,1,Late Night,Spring
CR001333,2021-09-21,2021,9,21,Tuesday,02:46,2,Los Angeles,Los Angeles - Neighborhood 3,Fraud,2,34.0339,-118.1922,,,False,False,Pending,Victim reported fraud,September,3,Late Night,Fall
CR001334,2021-06-09,2021,6,9,Wednesday,15:11,15,Chicago,Chicago - Neighborhood 3,Theft,2,41.7834,-87.6501,11.0,Male,False,False,Closed,Police responded to theft call,June,2,Afternoon,Summer
CR001335,2022-12-23,2022,12,23,Friday,06:15,6,Philadelphia,Philadelphia - Neighborhood 5,Vandalism,2,39.8505,-75.1363,36.0,Unknown,True,False,Pending,Report of vandalism at 06:15,December,4,Morning,Winter
CR001336,2022-05-09,2022,5,9,Monday,14:25,14,Chicago,Chicago - Neighborhood 3,Vandalism,2,41.861,-87.5568,5.0,,True,False,Open,Victim reported vandalism,May,2,Afternoon,Spring
CR001337,2021-01-16,2021,1,16,Saturday,08:01,8,New York,New York - Neighborhood 5,Theft,2,40.6337,-74.0297,0.0,Male,False,False,Closed,Police responded to theft call,January,1,Morning,Winter
CR001338,2020-05-07,2020,5,7,Thursday,23:12,23,New York,New York - Neighborhood 1,Theft,2,40.631,-74.0207,6.0,,False,False,Pending,Report of theft at 23:12,May,2,Evening,Spring
CR001339,2021-05-07,2021,5,7,Friday,05:44,5,New York,New York - Neighborhood 8,Fraud,2,40.7093,-74.0902,5.0,Male,False,False,Pending,Suspect involved in fraud incident,May,2,Late Night,Spring
CR001340,2023-06-17,2023,6,17,Saturday,22:03,22,Phoenix,Phoenix - Neighborhood 3,Robbery,4,33.4944,-112.1183,59.0,Female,False,False,Pending,Report of robbery at 22:03,June,2,Evening,Summer
CR001341,2021-11-22,2021,11,22,Monday,14:45,14,New York,New York - Neighborhood 8,Assault,4,40.6339,-74.0155,56.0,Male,True,False,Closed,Report of assault at 14:45,November,4,Afternoon,Fall
CR001342,2022-04-30,2022,4,30,Saturday,05:01,5,Phoenix,Phoenix - Neighborhood 4,Theft,2,33.4605,-112.0676,16.0,Unknown,False,False,Closed,Police responded to theft call,April,2,Late Night,Spring
CR001343,2023-01-01,2023,1,1,Sunday,07:21,7,New York,New York - Neighborhood 8,Fraud,2,40.7775,-74.1019,,Male,False,False,Pending,Report of fraud at 07:21,January,1,Morning,Winter
CR001344,2021-12-21,2021,12,21,Tuesday,12:32,12,Houston,Houston - Neighborhood 9,Assault,4,29.6663,-95.4361,,Male,True,False,Pending,Suspect involved in assault incident,December,4,Afternoon,Winter
CR001345,2020-03-18,2020,3,18,Wednesday,18:24,18,Dallas,Dallas - Neighborhood 2,Assault,4,32.8005,-96.7473,85.0,Female,False,False,Pending,Victim reported assault,March,1,Evening,Spring
